booking_id,client_id,subproduct,booking_date,trip_date,amount_rub,status,city_from,city_to
123,44,hotel,2025-06-12,2025-06-22,20974.27,confirmed,Москва,Казань
124,19,avia,2025-08-01,2025-08-14,156023.31,confirmed,Санкт-Петербург,Москва
125,45,hotel,2025-05-28,2025-06-10,22387.86,confirmed,Новосибирск,Казань
126,40,hotel,2025-02-28,2025-03-04,27178.39,confirmed,Уфа,Новосибирск
127,45,train,2025-04-21,2025-04-28,15369.53,confirmed,Сочи,Новосибирск
128,1,hotel,2025-10-26,2025-11-03,67032.49,confirmed,Уфа,Москва
129,39,avia,2025-05-18,2025-05-21,50529.22,confirmed,Санкт-Петербург,Казань
130,27,hotel,2025-08-06,2025-08-16,113156.12,confirmed,Сочи,Москва
131,8,train,2025-08-01,2025-08-06,17763.85,confirmed,Санкт-Петербург,Москва
132,28,avia,2025-06-21,2025-06-29,65779.59,confirmed,Москва,Сочи
133,27,hotel,2025-05-11,2025-05-17,132345.03,confirmed,Екатеринбург,Санкт-Петербург
134,9,avia,2025-06-20,2025-06-30,49599.83,confirmed,Екатеринбург,Уфа
135,27,hotel,2025-07-08,2025-07-23,124410.8,confirmed,Санкт-Петербург,Москва
136,20,train,2025-12-08,2025-12-15,2591.25,cancelled,Екатеринбург,Сочи
137,26,train,2025-08-23,2025-09-05,2945.98,confirmed,Санкт-Петербург,Москва
138,34,hotel,2025-07-19,2025-08-01,5897.24,confirmed,Уфа,Новосибирск
139,45,avia,2025-04-04,2025-04-22,79884.12,confirmed,Москва,Сочи
140,33,avia,2025-07-01,2025-07-22,144057.7,confirmed,Москва,Уфа
141,33,hotel,2025-01-08,2025-01-09,62417.09,confirmed,Казань,Санкт-Петербург
142,33,train,2025-05-12,2025-06-01,21524.68,confirmed,Уфа,Сочи
143,47,train,2025-04-21,2025-04-23,13110.07,confirmed,Москва,Уфа
144,14,hotel,2025-07-18,2025-07-26,12332.21,confirmed,Москва,Санкт-Петербург
145,29,avia,2025-08-19,2025-08-24,66584.31,cancelled,Санкт-Петербург,Казань
146,8,avia,2025-04-16,2025-04-17,76897.45,confirmed,Новосибирск,Санкт-Петербург
147,21,train,2025-02-01,2025-02-06,13342.8,confirmed,Санкт-Петербург,Москва
148,31,taxi,2025-05-28,2025-05-31,1457.13,confirmed,Москва,Санкт-Петербург
149,47,avia,2025-03-01,2025-03-22,15998.57,confirmed,Санкт-Петербург,Уфа
150,8,avia,2025-08-03,2025-08-06,125953.51,confirmed,Новосибирск,Екатеринбург
151,47,hotel,2025-01-05,2025-01-25,57548.92,cancelled,Екатеринбург,Уфа
152,37,avia,2025-03-19,2025-04-01,121993.08,confirmed,Уфа,Новосибирск
153,17,avia,2025-01-05,2025-01-07,34148.8,confirmed,Санкт-Петербург,Екатеринбург
154,14,taxi,2025-07-25,2025-08-13,670.5,confirmed,Казань,Сочи
155,23,avia,2025-01-10,2025-01-27,35749.47,confirmed,Сочи,Санкт-Петербург
156,17,train,2025-06-02,2025-06-12,6547.04,confirmed,Москва,Казань
157,17,avia,2025-07-19,2025-08-06,101206.81,confirmed,Санкт-Петербург,Казань
158,10,hotel,2025-07-19,2025-07-20,32892.26,confirmed,Сочи,Москва
159,14,train,2025-08-02,2025-08-09,9672.03,confirmed,Санкт-Петербург,Екатеринбург
160,34,avia,2025-07-15,2025-07-29,42388.17,confirmed,Москва,Сочи
161,26,avia,2025-01-10,2025-01-17,43925.08,confirmed,Новосибирск,Уфа
162,21,avia,2025-07-17,2025-08-07,103956.15,cancelled,Санкт-Петербург,Уфа
163,1,taxi,2025-09-28,2025-10-12,3725.33,confirmed,Санкт-Петербург,Казань
164,10,avia,2025-08-21,2025-08-31,36553.49,cancelled,Екатеринбург,Санкт-Петербург
165,23,taxi,2025-07-15,2025-07-23,669.88,confirmed,Новосибирск,Екатеринбург
166,27,taxi,2025-09-18,2025-10-02,454.63,confirmed,Уфа,Новосибирск
167,27,train,2025-07-06,2025-07-17,25425.87,confirmed,Екатеринбург,Новосибирск
168,20,avia,2025-07-13,2025-07-15,50322.39,confirmed,Москва,Казань
169,23,avia,2025-07-23,2025-08-08,38044.34,confirmed,Казань,Екатеринбург
170,25,train,2025-06-07,2025-06-20,13645.72,confirmed,Москва,Сочи
171,42,train,2025-03-22,2025-04-02,4292.02,cancelled,Сочи,Казань
172,19,avia,2025-07-16,2025-07-23,131442.21,confirmed,Екатеринбург,Казань
173,8,hotel,2025-10-24,2025-11-07,52275.77,confirmed,Новосибирск,Казань
174,21,avia,2025-03-13,2025-03-16,89896.4,confirmed,Уфа,Екатеринбург
175,17,avia,2025-05-22,2025-06-01,43518.2,cancelled,Екатеринбург,Новосибирск
176,23,taxi,2025-11-17,2025-12-06,1231.69,confirmed,Санкт-Петербург,Сочи
177,7,taxi,2025-03-07,2025-03-18,1138.21,confirmed,Москва,Екатеринбург
178,43,avia,2025-03-21,2025-03-23,37294.05,confirmed,Сочи,Екатеринбург
179,27,avia,2025-11-24,2025-11-30,133673.52,confirmed,Москва,Казань
180,37,train,2025-01-20,2025-01-27,13899.39,confirmed,Новосибирск,Сочи
181,19,avia,2025-11-14,2025-11-28,172849.99,confirmed,Сочи,Уфа
182,23,taxi,2025-02-14,2025-03-07,2356.51,confirmed,Уфа,Санкт-Петербург
183,29,hotel,2025-06-17,2025-06-27,77860.49,confirmed,Новосибирск,Екатеринбург
184,49,hotel,2025-06-20,2025-07-10,62726.91,confirmed,Санкт-Петербург,Сочи
185,12,train,2025-12-04,2025-12-25,6412.2,cancelled,Екатеринбург,Казань
186,23,avia,2025-09-20,2025-09-26,198850.84,confirmed,Сочи,Казань
187,46,taxi,2025-03-03,2025-03-07,1835.78,cancelled,Екатеринбург,Санкт-Петербург
188,46,train,2025-01-13,2025-01-23,4530.77,confirmed,Санкт-Петербург,Уфа
189,1,avia,2025-06-19,2025-06-27,15762.34,confirmed,Сочи,Новосибирск
190,4,hotel,2025-08-05,2025-08-26,54271.16,confirmed,Уфа,Екатеринбург
191,21,train,2025-03-15,2025-04-02,12783.06,confirmed,Сочи,Москва
192,42,train,2025-05-21,2025-06-02,1630.32,confirmed,Казань,Екатеринбург
193,19,avia,2025-04-03,2025-04-17,125905.06,confirmed,Новосибирск,Уфа
194,27,train,2025-06-15,2025-06-30,4991.79,confirmed,Уфа,Санкт-Петербург
195,45,hotel,2025-05-10,2025-05-22,38314.37,confirmed,Новосибирск,Сочи
196,22,avia,2025-08-13,2025-08-15,86623.56,confirmed,Новосибирск,Казань
197,37,hotel,2025-04-10,2025-04-30,33590.49,confirmed,Санкт-Петербург,Сочи
198,11,taxi,2025-09-21,2025-10-07,1505.78,confirmed,Уфа,Екатеринбург
199,15,avia,2025-10-10,2025-10-23,113931.94,confirmed,Сочи,Новосибирск
200,1,avia,2025-08-19,2025-08-26,40616.78,confirmed,Новосибирск,Сочи
201,23,train,2025-03-19,2025-03-22,8136.16,confirmed,Уфа,Новосибирск
202,35,train,2025-03-11,2025-03-28,15639.78,cancelled,Новосибирск,Екатеринбург
203,10,train,2025-01-14,2025-01-20,19790.62,cancelled,Сочи,Екатеринбург
204,17,taxi,2025-05-22,2025-05-27,3845.81,confirmed,Сочи,Уфа
205,10,taxi,2025-07-06,2025-07-24,2238.59,confirmed,Москва,Уфа
206,26,avia,2025-01-14,2025-01-24,67375.76,confirmed,Екатеринбург,Сочи
207,4,train,2025-10-12,2025-10-16,15361.71,confirmed,Уфа,Новосибирск
208,23,hotel,2025-04-25,2025-05-10,43223.31,confirmed,Сочи,Санкт-Петербург
209,47,avia,2025-01-16,2025-01-20,22009.73,confirmed,Сочи,Уфа
210,44,hotel,2025-03-01,2025-03-15,47576.88,confirmed,Казань,Екатеринбург
211,37,hotel,2025-03-15,2025-03-25,63423.88,confirmed,Новосибирск,Санкт-Петербург
212,44,hotel,2025-04-18,2025-05-01,26026.06,confirmed,Казань,Новосибирск
213,42,train,2025-04-14,2025-04-22,6001.19,confirmed,Казань,Екатеринбург
214,4,hotel,2025-05-05,2025-05-21,70575.4,confirmed,Москва,Уфа
215,4,taxi,2025-07-22,2025-07-24,3381.5,cancelled,Уфа,Санкт-Петербург
216,49,avia,2025-04-05,2025-04-20,74944.35,confirmed,Уфа,Казань
217,3,hotel,2025-12-27,2026-01-14,8019.41,confirmed,Москва,Новосибирск
218,48,hotel,2025-06-26,2025-06-30,18333.16,confirmed,Новосибирск,Санкт-Петербург
219,9,avia,2025-07-24,2025-07-26,21981.99,confirmed,Новосибирск,Екатеринбург
220,23,hotel,2025-03-27,2025-04-09,77408.45,confirmed,Казань,Сочи
221,33,hotel,2025-03-15,2025-03-19,85387.51,confirmed,Сочи,Екатеринбург
222,1,avia,2025-04-22,2025-05-11,74738.7,confirmed,Сочи,Новосибирск
223,45,avia,2025-06-16,2025-06-26,84026.12,confirmed,Новосибирск,Москва
224,22,avia,2025-06-09,2025-06-23,62741.49,confirmed,Казань,Санкт-Петербург
225,27,train,2025-05-19,2025-05-26,18652.29,confirmed,Сочи,Екатеринбург
226,37,avia,2025-05-14,2025-05-30,108760.89,cancelled,Москва,Санкт-Петербург
227,33,train,2025-06-19,2025-07-02,12950.87,confirmed,Сочи,Москва
228,25,avia,2025-05-22,2025-06-12,8846.26,confirmed,Казань,Уфа
229,48,hotel,2025-03-24,2025-04-10,21513.35,confirmed,Санкт-Петербург,Уфа
230,29,avia,2025-01-08,2025-01-24,98509.26,confirmed,Казань,Москва
231,19,avia,2025-09-12,2025-09-25,61063.63,confirmed,Сочи,Москва
232,19,hotel,2025-10-27,2025-10-28,116960.76,confirmed,Уфа,Екатеринбург
233,49,avia,2025-05-25,2025-05-27,48396.83,confirmed,Москва,Сочи
234,15,avia,2025-12-03,2025-12-14,81646.41,confirmed,Москва,Новосибирск
235,37,hotel,2025-04-03,2025-04-18,65324.95,confirmed,Уфа,Екатеринбург
236,26,train,2025-05-06,2025-05-12,16258.55,confirmed,Москва,Екатеринбург
237,42,taxi,2025-05-04,2025-05-10,2027.31,confirmed,Москва,Новосибирск
238,37,train,2025-04-26,2025-04-27,7873.21,confirmed,Москва,Казань
239,29,hotel,2025-12-19,2025-12-31,29207.11,confirmed,Сочи,Москва
240,37,train,2025-03-09,2025-03-30,16144.78,confirmed,Новосибирск,Уфа
241,33,avia,2025-11-04,2025-11-23,94511.78,confirmed,Екатеринбург,Сочи
242,33,taxi,2025-07-26,2025-08-01,3676.61,confirmed,Уфа,Москва
243,45,hotel,2025-04-21,2025-05-06,64577.66,confirmed,Москва,Екатеринбург
244,42,train,2025-05-17,2025-06-04,14605.87,confirmed,Уфа,Санкт-Петербург
245,45,train,2025-04-03,2025-04-10,23293.48,cancelled,Санкт-Петербург,Сочи
246,34,hotel,2025-12-15,2025-12-25,81354.91,confirmed,Новосибирск,Сочи
247,48,avia,2025-06-24,2025-07-02,86375.88,cancelled,Казань,Екатеринбург
248,25,hotel,2025-06-14,2025-06-19,58639.31,confirmed,Екатеринбург,Санкт-Петербург
249,27,avia,2025-08-06,2025-08-23,200896.53,confirmed,Казань,Новосибирск
250,33,hotel,2025-06-09,2025-06-16,30300.44,confirmed,Сочи,Москва
251,46,train,2025-01-13,2025-02-03,12074.52,cancelled,Санкт-Петербург,Сочи
252,32,hotel,2025-03-12,2025-03-13,31046.63,confirmed,Новосибирск,Санкт-Петербург
253,41,taxi,2025-04-07,2025-04-18,3453.87,confirmed,Новосибирск,Уфа
254,45,train,2025-03-04,2025-03-19,6599.85,confirmed,Новосибирск,Екатеринбург
255,23,taxi,2025-08-03,2025-08-16,820.07,confirmed,Сочи,Новосибирск
256,27,avia,2025-08-27,2025-09-15,166441.95,confirmed,Санкт-Петербург,Москва
257,49,avia,2025-05-16,2025-06-03,121567.16,confirmed,Казань,Санкт-Петербург
258,43,hotel,2025-03-03,2025-03-21,44426.88,confirmed,Екатеринбург,Казань
259,4,taxi,2025-10-24,2025-11-06,1653.37,confirmed,Москва,Екатеринбург
260,30,avia,2025-05-12,2025-06-01,25206.84,confirmed,Уфа,Москва
261,36,train,2025-02-19,2025-03-08,2374.83,confirmed,Санкт-Петербург,Сочи
262,28,hotel,2025-08-12,2025-08-14,15457.97,confirmed,Новосибирск,Екатеринбург
263,13,avia,2025-02-14,2025-02-18,57924.26,confirmed,Сочи,Уфа
264,43,avia,2025-04-02,2025-04-09,15613.73,confirmed,Санкт-Петербург,Новосибирск
265,24,avia,2025-08-17,2025-08-20,57373.51,confirmed,Сочи,Казань
266,8,avia,2025-03-28,2025-03-31,114368.35,confirmed,Москва,Уфа
267,17,avia,2025-08-05,2025-08-07,45082.14,confirmed,Москва,Екатеринбург
268,4,hotel,2025-02-25,2025-03-15,21432.92,confirmed,Казань,Санкт-Петербург
269,33,hotel,2025-04-24,2025-05-10,72277.46,confirmed,Екатеринбург,Санкт-Петербург
270,34,taxi,2025-12-11,2025-12-15,1680.55,confirmed,Санкт-Петербург,Сочи
271,12,avia,2025-07-09,2025-07-30,45063.32,confirmed,Уфа,Москва
272,27,avia,2025-11-21,2025-11-29,115640.04,confirmed,Екатеринбург,Уфа
273,18,train,2025-11-18,2025-12-05,3037.63,confirmed,Новосибирск,Сочи
274,4,hotel,2025-08-15,2025-08-25,34898.52,confirmed,Санкт-Петербург,Новосибирск
275,30,taxi,2025-04-02,2025-04-19,2276.18,confirmed,Екатеринбург,Уфа
276,33,avia,2025-07-24,2025-07-30,24314.7,confirmed,Санкт-Петербург,Новосибирск
277,31,avia,2025-10-18,2025-10-27,81518.76,confirmed,Уфа,Екатеринбург
278,19,taxi,2025-05-10,2025-05-26,3228.27,confirmed,Уфа,Санкт-Петербург
279,26,train,2025-08-12,2025-08-28,15434.77,confirmed,Казань,Уфа
280,22,taxi,2025-03-03,2025-03-19,1752.75,confirmed,Москва,Казань
281,9,hotel,2025-03-22,2025-03-30,57047.69,confirmed,Москва,Новосибирск
282,19,hotel,2025-12-09,2025-12-17,135347.48,confirmed,Москва,Уфа
283,29,hotel,2025-09-23,2025-10-10,43934.42,confirmed,Уфа,Сочи
284,39,taxi,2025-03-08,2025-03-12,3126.57,confirmed,Екатеринбург,Казань
285,17,hotel,2025-12-02,2025-12-19,55536.72,confirmed,Санкт-Петербург,Москва
286,24,hotel,2025-07-08,2025-07-15,52130.39,confirmed,Казань,Уфа
287,32,hotel,2025-03-12,2025-03-26,53363.85,confirmed,Москва,Казань
288,29,train,2025-10-16,2025-10-26,10801.97,cancelled,Казань,Санкт-Петербург
289,33,avia,2025-03-24,2025-04-11,35827.89,confirmed,Екатеринбург,Казань
290,21,avia,2025-07-11,2025-07-29,31070.21,confirmed,Сочи,Уфа
291,37,hotel,2025-02-24,2025-03-15,65885.9,confirmed,Екатеринбург,Казань
292,18,avia,2025-10-06,2025-10-26,29690.7,confirmed,Казань,Новосибирск
293,29,avia,2025-05-23,2025-06-08,53467.13,confirmed,Екатеринбург,Новосибирск
294,6,hotel,2025-09-22,2025-10-12,38960.53,confirmed,Казань,Москва
295,28,hotel,2025-05-08,2025-05-15,27035.92,cancelled,Казань,Санкт-Петербург
296,17,avia,2025-12-12,2025-12-17,38124.37,confirmed,Москва,Казань
297,43,train,2025-06-14,2025-06-18,10919.77,cancelled,Новосибирск,Сочи
298,10,train,2025-11-11,2025-11-24,5332.86,cancelled,Сочи,Москва
299,17,avia,2025-11-22,2025-12-03,44902.34,cancelled,Новосибирск,Сочи
300,19,train,2025-04-23,2025-05-08,13353.43,confirmed,Екатеринбург,Санкт-Петербург
301,15,hotel,2025-08-16,2025-08-23,20714.85,confirmed,Москва,Новосибирск
302,27,avia,2025-11-03,2025-11-05,99948.68,confirmed,Санкт-Петербург,Сочи
303,4,train,2025-06-11,2025-06-29,10813.55,cancelled,Уфа,Санкт-Петербург
304,9,avia,2025-09-23,2025-09-28,53992.72,cancelled,Екатеринбург,Сочи
305,19,train,2025-07-15,2025-07-16,24620.76,confirmed,Москва,Сочи
306,29,hotel,2025-02-21,2025-02-27,11039.42,confirmed,Москва,Екатеринбург
307,7,avia,2025-03-09,2025-03-11,79677.59,confirmed,Москва,Уфа
308,10,avia,2025-05-09,2025-05-21,68287.43,confirmed,Сочи,Екатеринбург
309,23,hotel,2025-04-10,2025-05-01,105376.82,confirmed,Санкт-Петербург,Москва
310,10,hotel,2025-12-13,2025-12-24,26011.5,cancelled,Екатеринбург,Санкт-Петербург
311,23,avia,2025-03-21,2025-03-22,208193.91,confirmed,Сочи,Уфа
312,19,avia,2025-04-02,2025-04-09,178054.17,confirmed,Санкт-Петербург,Новосибирск
313,13,train,2025-09-01,2025-09-03,1702.75,confirmed,Казань,Новосибирск
314,21,avia,2025-03-17,2025-03-31,62865.25,confirmed,Санкт-Петербург,Новосибирск
315,43,hotel,2025-03-15,2025-04-04,50057.57,cancelled,Сочи,Новосибирск
316,32,taxi,2025-05-04,2025-05-15,2294.74,confirmed,Москва,Екатеринбург
317,34,avia,2025-05-13,2025-05-19,71993.8,confirmed,Екатеринбург,Москва
318,1,train,2025-02-14,2025-02-19,6297.94,confirmed,Казань,Санкт-Петербург
319,33,avia,2025-05-16,2025-05-30,219434.02,confirmed,Сочи,Казань
