month,agent,calls_reported,visits_reported,new_objects_reported,deals
2024-12,agent_04,94,11,7,0
2025-01,agent_04,108,17,7,0
2025-02,agent_04,97,13,5,1
2025-03,agent_04,87,20,7,0
2025-04,agent_04,132,14,5,2
2025-05,agent_04,137,17,9,0
2025-06,agent_04,71,20,3,0
2024-01,agent_05,95,21,6,0
2024-02,agent_05,171,25,11,0
2024-03,agent_05,114,16,3,0
2024-04,agent_05,130,27,8,0
2024-05,agent_05,108,18,4,0
2024-06,agent_05,103,13,10,0
2024-07,agent_05,92,16,3,0
2024-08,agent_05,137,17,9,0
2024-09,agent_05,152,27,7,0
2024-10,agent_05,108,14,4,0
2024-11,agent_05,110,18,4,0
2024-12,agent_05,74,14,6,0
2025-01,agent_05,99,13,9,0
2025-02,agent_05,74,12,3,0
2025-03,agent_05,99,10,6,1
2025-04,agent_05,147,21,5,0
2025-05,agent_05,153,22,11,0
2025-06,agent_05,219,32,9,0
2024-01,agent_06,205,47,11,0
2024-02,agent_06,224,30,7,0
2024-03,agent_06,206,46,8,0
2024-04,agent_06,257,53,19,0
2024-05,agent_06,296,47,13,0
2024-06,agent_06,146,34,9,0
2024-07,agent_06,245,36,11,1
2024-08,agent_06,108,15,5,0
2024-09,agent_06,240,46,17,0
2024-10,agent_06,167,24,10,0
2024-11,agent_06,162,23,10,0
2024-12,agent_06,159,31,12,0
2025-01,agent_06,102,14,3,0
2025-02,agent_06,189,29,5,0
2025-03,agent_06,233,36,14,2
2025-04,agent_06,197,24,11,1
2025-05,agent_06,135,13,6,1
2025-06,agent_06,123,25,5,0
2024-01,agent_07,116,13,5,0
2024-02,agent_07,68,15,4,1
2024-03,agent_07,81,7,8,0
2024-04,agent_07,106,17,8,3
2024-05,agent_07,94,9,8,0
2024-06,agent_07,137,23,4,0
2024-07,agent_07,158,24,8,1
2024-08,agent_07,134,20,7,3
2024-09,agent_07,115,12,3,1
2024-10,agent_07,178,32,8,0
2024-11,agent_07,99,7,5,0
2024-12,agent_07,120,19,5,0
2025-01,agent_07,133,22,12,0
2025-02,agent_07,157,24,5,0
2025-03,agent_07,85,8,4,1
2025-04,agent_07,119,14,10,0
2025-05,agent_07,173,21,8,1
2025-06,agent_07,125,21,4,0
2024-01,agent_08,102,15,3,0
2024-02,agent_08,122,16,7,0
2024-03,agent_08,141,21,7,4
2024-04,agent_08,112,21,6,0
2024-05,agent_08,78,10,4,1
2024-06,agent_08,154,17,5,0
2024-07,agent_08,95,11,6,0
2024-08,agent_08,147,27,6,1
2024-09,agent_08,156,22,6,0
2024-10,agent_08,111,28,8,1
2024-11,agent_08,138,18,4,0
2024-12,agent_08,133,30,8,0
2025-01,agent_08,129,16,8,1
2025-02,agent_08,95,19,9,0
2025-03,agent_08,131,27,2,0
2025-04,agent_08,134,20,3,3
2025-05,agent_08,104,15,6,0
2025-06,agent_08,111,20,2,0
2024-01,agent_09,112,14,6,0
2024-02,agent_09,147,20,8,0
2024-03,agent_09,111,17,4,0
2024-04,agent_09,120,15,2,0
2024-05,agent_09,128,28,6,0
2024-06,agent_09,118,15,11,0
2024-07,agent_09,142,22,11,0
2024-08,agent_09,142,16,6,1
2024-09,agent_09,125,15,2,0
2024-10,agent_09,117,14,7,0
2024-11,agent_09,110,15,4,0
2024-12,agent_09,100,14,8,0
2025-01,agent_09,105,11,5,0
2025-02,agent_09,175,27,10,0
2025-03,agent_09,100,15,3,1
2025-04,agent_09,118,25,1,0
2025-05,agent_09,129,27,4,0
2025-06,agent_09,125,22,10,0
2024-01,agent_10,256,36,9,0
2024-02,agent_10,256,42,14,0
2024-03,agent_10,172,25,8,0
2024-04,agent_10,132,20,5,1
2024-05,agent_10,285,46,13,0
2024-06,agent_10,186,26,3,0
2024-07,agent_10,173,29,8,2
2024-08,agent_10,198,33,6,0
2024-09,agent_10,264,33,16,0
2024-10,agent_10,162,27,6,0
2024-11,agent_10,81,11,1,0
2024-12,agent_10,186,21,9,0
2025-01,agent_10,215,30,3,0
2025-02,agent_10,189,35,14,1
2025-03,agent_10,186,23,9,0
2025-04,agent_10,174,34,22,0
2025-05,agent_10,191,28,11,0
2025-06,agent_10,120,17,7,0
2024-01,agent_11,159,20,9,0
2024-02,agent_11,164,22,6,0
2024-03,agent_11,97,12,4,1
2024-04,agent_11,128,22,3,0
2024-05,agent_11,135,24,8,1
2024-06,agent_11,95,12,3,0
2024-07,agent_11,123,14,10,0
2024-08,agent_11,126,10,4,0
2024-09,agent_11,161,20,9,1
2024-10,agent_11,145,23,8,0
2024-11,agent_11,100,13,9,0
2024-12,agent_11,112,17,3,0
2025-01,agent_11,162,23,2,0
2025-02,agent_11,95,16,3,0
2025-03,agent_11,127,30,6,1
2025-04,agent_11,121,16,5,1
2025-05,agent_11,97,14,4,0
2025-06,agent_11,80,16,6,0
