year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance
2013,1,1,629,-1,824,14,AA,N3CYAA,303,LGA,ORD,140,733
2013,1,1,629,-1,721,-19,WN,N273WN,4646,LGA,BWI,40,185
2013,1,1,629,-1,824,-9,US,N426US,1019,EWR,CLT,91,529
2013,1,1,632,24,740,12,EV,N13553,4144,EWR,IAD,52,212
2013,1,1,635,0,1028,48,AA,N3GKAA,711,LGA,DFW,248,1389
2013,1,1,637,-8,930,-5,B6,N709JB,389,LGA,MCO,144,950
2013,1,1,639,-1,739,-10,B6,N805JB,1002,JFK,BOS,41,187
2013,1,1,643,-3,922,-18,UA,N497UA,556,EWR,PBI,146,1023
2013,1,1,643,-2,837,-11,US,N178US,926,EWR,CLT,91,529
2013,1,1,644,8,931,-9,UA,N75435,1701,EWR,FLL,151,1065
2013,1,1,645,-2,815,5,B6,N796JB,102,JFK,BUF,63,301
2013,1,1,646,1,910,-6,UA,N569UA,883,LGA,DEN,243,1620
2013,1,1,646,1,1023,-7,UA,N38727,1496,EWR,SNA,380,2434
2013,1,1,651,-4,936,-6,B6,N558JB,203,JFK,LAS,323,2248
2013,1,1,652,-3,932,11,B6,N178JB,117,JFK,MSY,191,1182
2013,1,1,653,-7,936,-33,DL,N327NW,1383,LGA,PBI,149,1035
2013,1,1,655,0,1021,-9,DL,N3763D,1415,JFK,SLC,294,1990
2013,1,1,655,-5,1037,-8,DL,N705TW,1865,JFK,SFO,362,2586
2013,1,1,655,-5,1002,-18,DL,N997DL,2003,LGA,MIA,161,1096
2013,1,1,656,-4,854,4,AA,N4WNAA,305,LGA,ORD,143,733
2013,1,1,656,-3,949,-10,AA,N5FMAA,1815,JFK,MCO,142,944
2013,1,1,656,-9,1007,27,MQ,N722MQ,4534,LGA,XNA,233,1147
2013,1,1,656,-4,948,-23,UA,N24212,1115,EWR,TPA,156,997
2013,1,1,657,-3,959,-14,DL,N318NB,1879,LGA,FLL,164,1076
2013,1,1,658,-2,944,5,DL,N6703D,1547,LGA,ATL,126,762
2013,1,1,658,-2,1027,2,VX,N627VA,399,JFK,LAX,361,2475
2013,1,1,659,-1,1008,-7,AA,N3EKAA,2279,LGA,MIA,159,1096
2013,1,1,659,-1,1008,1,B6,N646JB,981,JFK,FLL,156,1069
2013,1,1,659,-6,907,-6,DL,N998DL,831,LGA,DTW,105,502
2013,1,1,659,-1,959,-9,UA,N838UA,960,EWR,RSW,164,1068
2013,1,1,701,1,1123,-31,UA,N77296,1203,EWR,SJU,188,1608
2013,1,1,702,2,1058,44,B6,N779JB,671,JFK,LAX,381,2475
2013,1,1,709,9,852,20,UA,N26226,1092,LGA,ORD,135,733
2013,1,1,711,-4,1151,-15,B6,N651JB,715,JFK,SJU,190,1598
2013,1,1,712,-3,1023,-12,AA,N3ETAA,825,JFK,FLL,159,1069
2013,1,1,715,2,911,21,UA,N841UA,544,EWR,ORD,156,719
2013,1,1,717,-3,850,10,FL,N978AT,850,LGA,MKE,134,738
2013,1,1,719,-2,1017,5,B6,N562JB,987,JFK,MCO,147,944
2013,1,1,723,-2,1013,-4,UA,N514UA,962,EWR,PBI,153,1023
2013,1,1,724,-6,1111,31,AA,N541AA,715,LGA,DFW,254,1389
2013,1,1,724,-1,1020,-10,AS,N594AS,11,EWR,SEA,338,2402
2013,1,1,725,-5,1052,12,AA,N4WRAA,2083,EWR,DFW,238,1372
2013,1,1,727,-3,959,7,UA,N37462,1162,EWR,DEN,254,1605
2013,1,1,728,-4,1041,3,UA,N488UA,473,LGA,IAH,238,1416
2013,1,1,729,-1,1049,-26,VX,N635VA,11,JFK,SFO,356,2586
2013,1,1,732,-3,857,-1,B6,N304JB,20,JFK,ROC,64,264
2013,1,1,732,3,1041,2,B6,N563JB,1601,LGA,RSW,167,1080
2013,1,1,732,47,1011,30,UA,N37456,1111,EWR,MCO,145,937
2013,1,1,733,-3,854,4,B6,N552JB,44,JFK,SYR,54,209
2013,1,1,734,-3,1047,-26,B6,N625JB,643,JFK,SFO,350,2586
2013,1,1,739,-6,918,-12,AA,N4WPAA,309,LGA,ORD,137,733
2013,1,1,739,0,1104,26,UA,N37408,1479,EWR,IAH,249,1400
2013,1,1,741,-4,1038,2,B6,N633JB,983,LGA,TPA,158,1010
2013,1,1,743,13,1107,7,AA,N338AA,33,JFK,LAX,358,2475
2013,1,1,743,-6,1043,-11,B6,N624JB,341,JFK,SRQ,164,1041
2013,1,1,743,13,1059,3,DL,N3760C,495,JFK,SEA,349,2422
2013,1,1,745,0,1135,10,AA,N336AA,59,JFK,SFO,378,2586
2013,1,1,746,0,1119,-10,UA,N24224,1668,EWR,SFO,373,2565
2013,1,1,749,39,939,49,MQ,N508MQ,3737,EWR,ORD,148,719
2013,1,1,752,-3,1041,-18,DL,N325US,2263,LGA,MCO,140,950
2013,1,1,752,2,1025,-4,UA,N511UA,477,LGA,DEN,249,1620
2013,1,1,752,-7,955,-4,US,N543UW,1733,LGA,CLT,96,544
2013,1,1,753,-2,1056,-14,AA,N3HMAA,2267,LGA,MIA,157,1096
2013,1,1,754,-5,1039,-2,DL,N935DL,2047,LGA,ATL,126,762
2013,1,1,754,-1,1103,33,WN,N789SW,733,LGA,DEN,279,1620
2013,1,1,758,-2,1053,-1,B6,N645JB,517,EWR,MCO,142,937
2013,1,1,759,-1,1057,-30,DL,N955DL,1843,JFK,MIA,158,1089
2013,1,1,800,0,1022,8,DL,N317US,2119,LGA,MSP,171,1020
2013,1,1,800,-10,949,-6,MQ,N828MQ,4406,JFK,RDU,80,427
2013,1,1,801,-4,900,-19,B6,N206JB,1172,EWR,BOS,38,200
2013,1,1,803,-7,903,-22,AA,N3GEAA,1838,JFK,BOS,38,187
2013,1,1,803,3,1132,-12,UA,N510UA,223,JFK,SFO,369,2586
2013,1,1,804,-6,1103,-13,DL,N947DL,1959,JFK,MCO,147,944
2013,1,1,805,0,1015,10,B6,N273JB,219,JFK,CLT,98,541
2013,1,1,805,5,1118,12,B6,N570JB,3,JFK,FLL,165,1069
2013,1,1,805,-10,1006,-4,MQ,N739MQ,4490,LGA,CMH,101,479
2013,1,1,807,-3,1043,0,DL,N308DE,269,JFK,ATL,126,760
2013,1,1,809,-6,1043,-7,EV,N14542,4388,EWR,JAX,132,820
2013,1,1,810,0,1048,11,9E,N915XJ,3538,JFK,MSP,189,1029
2013,1,1,810,-5,1100,-28,DL,N349NW,2395,LGA,PBI,149,1035
2013,1,1,811,-4,1006,-26,EV,N11193,4260,EWR,CHS,101,628
2013,1,1,811,101,1047,137,MQ,N531MQ,4576,LGA,CLT,118,544
2013,1,1,811,-4,1026,10,US,N654AW,675,EWR,CLT,96,529
2013,1,1,812,-2,1040,23,EV,N17108,4537,EWR,MEM,180,946
2013,1,1,813,-2,1103,7,DL,N375NC,914,LGA,DEN,267,1620
2013,1,1,814,4,1047,17,FL,N977AT,346,LGA,ATL,132,762
2013,1,1,817,7,1005,17,B6,N228JB,1051,JFK,PIT,86,340
2013,1,1,820,0,1254,-16,B6,N527JB,717,JFK,SJU,190,1598
2013,1,1,820,-10,940,-14,DL,N324US,27,JFK,BOS,36,187
2013,1,1,820,0,1249,-40,DL,N900PC,301,JFK,SJU,182,1598
2013,1,1,821,1,1153,24,B6,N521JB,181,JFK,SAN,354,2446
2013,1,1,821,-4,932,-13,MQ,N846MQ,4418,JFK,DCA,52,213
2013,1,1,822,-8,1014,-2,EV,N12540,4104,LGA,CLE,91,419
2013,1,1,823,-2,1019,-5,US,N655AW,487,JFK,CLT,96,541
2013,1,1,823,0,1151,16,UA,N39728,1223,EWR,DFW,250,1372
2013,1,1,824,-6,1027,2,AA,N573AA,1855,LGA,STL,169,888
2013,1,1,825,-2,1058,-7,B6,N292JB,611,JFK,JAX,130,828
2013,1,1,826,71,1136,51,AA,N3GVAA,443,JFK,MIA,160,1089
2013,1,1,826,9,1145,-13,UA,N76522,1480,EWR,SFO,357,2565
2013,1,1,828,-2,1027,15,B6,N274JB,905,JFK,ORD,160,740
2013,1,1,828,5,1150,7,UA,N76528,1506,EWR,LAX,359,2454
2013,1,1,829,-1,1152,-8,UA,N554UA,443,JFK,LAX,360,2475
2013,1,1,829,-1,1117,-23,UA,N75425,1592,EWR,MCO,145,937
2013,1,1,830,0,1018,3,AA,N4YCAA,313,LGA,ORD,137,733
2013,1,1,830,-5,1052,-13,MQ,N513MQ,4610,LGA,ATL,123,762
2013,1,1,831,-4,1021,-18,EV,N13969,4412,EWR,MYR,92,550
2013,1,1,832,-8,1006,-24,MQ,N725MQ,4521,LGA,RDU,77,431
2013,1,1,833,-2,1134,32,F9,N203FR,835,LGA,DEN,257,1620
2013,1,1,835,0,1210,20,AA,N3BDAA,717,LGA,DFW,249,1389
2013,1,1,839,-11,1027,-8,MQ,N711MQ,4558,LGA,CLE,88,419
2013,1,1,840,-5,1311,-39,AA,N5FSAA,1357,JFK,SJU,188,1598
2013,1,1,840,-5,1053,-9,DL,N926DL,2304,JFK,DTW,108,509
2013,1,1,846,1,1138,-27,B6,N564JB,553,EWR,RSW,157,1068
2013,1,1,848,853,1001,851,MQ,N942MQ,3944,JFK,BWI,41,184
2013,1,1,848,-3,1155,19,UA,N27724,1741,EWR,JAC,275,1874
2013,1,1,851,0,1032,-4,EV,N19966,4548,EWR,RDU,75,416
2013,1,1,851,-8,1102,-3,DL,N361NB,869,EWR,DTW,106,488
2013,1,1,851,11,1215,9,UA,N39297,1626,EWR,SAN,367,2425
2013,1,1,852,-3,1046,26,WN,N777QC,3848,EWR,MDW,146,711
2013,1,1,853,8,1147,2,B6,N184JB,59,JFK,TPA,159,1005
2013,1,1,855,-4,1143,-2,DL,N646DL,1747,LGA,ATL,129,762
2013,1,1,856,-4,1226,6,AA,N324AA,1,JFK,LAX,358,2475
2013,1,1,856,-4,1222,-10,DL,N970DL,2143,LGA,MIA,158,1096
2013,1,1,856,1,1140,-23,UA,N75426,1296,EWR,PBI,150,1023
2013,1,1,857,-3,1516,-14,HA,N380HA,51,JFK,HNL,659,4983
2013,1,1,857,-8,1107,-13,DL,N321NB,181,LGA,DTW,110,502
2013,1,1,857,-3,1124,-9,DL,N371NB,485,EWR,ATL,125,746
2013,1,1,857,6,1157,-25,UA,N45440,1670,EWR,SEA,343,2402
2013,1,1,858,-2,1102,-8,MQ,N737MQ,4478,LGA,DTW,103,502
2013,1,1,859,-1,1140,-24,DL,N360NB,1885,LGA,MCO,140,950
2013,1,1,859,-1,1223,-2,VX,N846VA,407,JFK,LAX,359,2475
2013,1,1,900,0,1211,8,UA,N19130,1170,EWR,FLL,161,1065
2013,1,1,902,-1,1048,3,UA,N820UA,580,EWR,ORD,145,719
2013,1,1,903,43,1045,50,MQ,N532MQ,4655,LGA,BNA,142,764
2013,1,1,904,-2,1207,-19,UA,N77525,1401,EWR,MIA,158,1085
2013,1,1,905,0,1309,40,B6,N281JB,1061,JFK,AUS,263,1521
2013,1,1,906,23,1134,9,UA,N17139,1643,EWR,DEN,246,1605
2013,1,1,908,-2,1020,-7,B6,N203JB,56,JFK,BTV,52,266
2013,1,1,908,-7,1004,-29,US,N959UW,1467,LGA,PHL,32,96
2013,1,1,908,0,1228,9,UA,N12216,1220,EWR,IAH,233,1400
2013,1,1,909,59,1331,16,AA,N5EXAA,655,JFK,STT,184,1623
2013,1,1,912,12,1241,21,AA,N5CRAA,647,JFK,MIA,166,1089
2013,1,1,912,6,1219,-7,UA,N38403,1601,EWR,MIA,159,1085
2013,1,1,913,-5,1346,-30,UA,N24715,1519,EWR,STT,189,1634
2013,1,1,914,-6,1244,4,AA,N517AA,1589,EWR,DFW,238,1372
2013,1,1,914,14,1058,15,UA,N810UA,783,EWR,CLE,85,404
2013,1,1,917,-3,1313,28,AA,N596AA,721,LGA,DFW,258,1389
2013,1,1,917,2,1206,-5,B6,N568JB,41,JFK,MCO,145,944
2013,1,1,917,-3,1052,-16,B6,N216JB,1103,JFK,RDU,80,427
2013,1,1,920,15,1039,14,B6,N346JB,1305,JFK,IAD,52,228
2013,1,1,920,0,1152,27,MQ,N527MQ,4582,LGA,CLT,92,544
2013,1,1,921,21,1237,10,DL,N713TW,120,JFK,LAX,333,2475
2013,1,1,923,4,1026,-4,B6,N580JB,1004,JFK,BOS,38,187
2013,1,1,926,-3,1404,-17,B6,N775JB,215,EWR,SJU,191,1608
2013,1,1,926,4,1221,2,B6,N534JB,57,JFK,PBI,151,1028
2013,1,1,926,-2,1233,13,UA,N27733,1597,EWR,EGE,287,1726
2013,1,1,927,-3,1231,-26,DL,N951DL,1335,LGA,RSW,166,1080
2013,1,1,929,0,1028,-14,EV,N11551,4636,EWR,DCA,43,199
2013,1,1,929,4,1220,30,WN,N957WN,766,EWR,DEN,264,1605
2013,1,1,930,25,1218,9,UA,N57439,1148,EWR,TPA,149,997
2013,1,1,931,1,1237,-1,B6,N508JB,375,LGA,FLL,161,1076
2013,1,1,931,1,1121,13,UA,N479UA,255,LGA,ORD,154,733
2013,1,1,932,2,1219,-6,VX,N641VA,251,JFK,LAS,324,2248
2013,1,1,933,-4,1057,-5,B6,N503JB,4,JFK,BUF,66,301
2013,1,1,933,29,1252,42,B6,N579JB,17,JFK,FLL,170,1069
2013,1,1,933,-2,1120,15,WN,N487WN,3895,LGA,MDW,145,725
2013,1,1,936,-4,1235,-16,DL,N975DL,2137,LGA,TPA,159,1010
2013,1,1,936,-9,1257,-12,DL,N900DE,1903,LGA,SRQ,169,1047
2013,1,1,937,-3,1238,3,B6,N615JB,361,LGA,PBI,154,1035
2013,1,1,937,-3,1127,7,WN,N729SW,1807,LGA,MKE,143,738
2013,1,1,940,-5,1119,-11,AA,N4WJAA,319,LGA,ORD,133,733
2013,1,1,940,-15,1226,6,MQ,N525MQ,4654,LGA,ATL,129,762
2013,1,1,941,-4,1300,2,B6,N806JB,679,JFK,LAX,352,2475
2013,1,1,946,-13,1146,-16,EV,N15912,4175,EWR,AVL,105,583
2013,1,1,947,-6,1053,-17,B6,N306JB,600,JFK,PWM,47,273
2013,1,1,950,-4,1155,13,EV,N12567,4681,EWR,STL,170,872
2013,1,1,953,-6,1141,12,MQ,N6EAMQ,4670,LGA,BNA,144,764
2013,1,1,953,32,1320,39,UA,N586UA,222,EWR,LAX,346,2454
2013,1,1,955,-5,1336,11,US,N642AW,75,EWR,PHX,324,2133
2013,1,1,956,-4,1241,0,DL,N956DL,1847,LGA,ATL,129,762
2013,1,1,957,144,1056,123,UA,N534UA,856,EWR,BOS,37,200
2013,1,1,959,-3,1313,-6,DL,N965DL,2379,LGA,FLL,151,1076
2013,1,1,959,-1,1151,-15,US,N765US,1177,LGA,CLT,90,544
2013,1,1,1003,-7,1255,-25,B6,N565JB,503,EWR,FLL,152,1065
2013,1,1,1003,4,1408,39,US,N541UW,196,JFK,PHX,342,2153
2013,1,1,1005,5,1239,5,UA,N81449,1625,EWR,DEN,254,1605
2013,1,1,1007,-3,1147,7,MQ,N503MQ,3795,EWR,ORD,131,719
2013,1,1,1009,-6,1219,-10,DL,N933DL,2319,LGA,MSP,160,1020
2013,1,1,1010,-5,1204,-6,US,N162UW,1103,EWR,CLT,90,529
2013,1,1,1010,-5,1225,11,US,N712US,1441,JFK,CLT,97,541
2013,1,1,1011,10,1133,5,EV,N820AS,5736,LGA,IAD,59,229
2013,1,1,1011,-4,1246,-21,DL,N399DA,1529,JFK,LAS,320,2248
2013,1,1,1021,-2,1254,2,FL,N942AT,347,LGA,ATL,129,762
2013,1,1,1024,-5,1140,-10,EV,N14905,4709,EWR,BUF,59,282
2013,1,1,1024,-6,1204,-11,MQ,N719MQ,4471,LGA,RDU,78,431
2013,1,1,1025,5,1356,26,AA,N3FXAA,731,LGA,DFW,247,1389
2013,1,1,1025,34,1258,-4,UA,N437UA,501,EWR,MCO,137,937
2013,1,1,1026,-4,1351,11,AA,N328AA,19,JFK,LAX,356,2475
2013,1,1,1028,2,1350,11,UA,N76508,1004,LGA,IAH,237,1416
2013,1,1,1029,-1,1427,32,AA,N325AA,179,JFK,SFO,389,2586
2013,1,1,1030,-5,1229,-17,EV,N11189,4277,EWR,CHS,100,628
2013,1,1,1031,1,1353,-22,VX,N625VA,23,JFK,SFO,363,2586
2013,1,1,1031,1,1323,-11,UA,N77258,1294,EWR,FLL,157,1065
2013,1,1,1032,-3,1305,15,EV,N13955,4180,EWR,IND,135,645
2013,1,1,1033,16,1130,-6,UA,N849UA,779,EWR,BOS,42,200
2013,1,1,1037,7,1221,11,AA,N581AA,321,LGA,ORD,133,733
2013,1,1,1038,8,1223,21,UA,N423UA,985,EWR,ORD,149,719
2013,1,1,1042,2,1325,-1,B6,N529JB,31,JFK,MCO,142,944
2013,1,1,1044,-1,1231,19,EV,N15555,4322,EWR,MKE,151,725
2013,1,1,1044,-1,1352,1,UA,N667UA,455,EWR,IAH,229,1400
2013,1,1,1044,3,1339,-11,UA,N76503,1060,EWR,RSW,157,1068
2013,1,1,1047,-8,1359,-6,AA,N3AVAA,739,LGA,DFW,230,1389
2013,1,1,1047,-3,1401,-9,DL,N3748Y,1275,JFK,SLC,295,1990
2013,1,1,1048,-2,1302,12,MQ,N537MQ,4589,LGA,DTW,112,502
2013,1,1,1053,3,1402,4,B6,N520JB,373,LGA,FLL,165,1076
2013,1,1,1054,-5,1326,-13,DL,N920DE,1647,LGA,ATL,129,762
2013,1,1,1056,-3,1203,-6,EV,N11544,4479,EWR,PWM,51,284
2013,1,1,1056,-4,1407,-6,DL,N917DL,2185,LGA,TPA,158,1010
2013,1,1,1058,-2,1210,-6,US,N951UW,2171,LGA,DCA,50,214
2013,1,1,1059,-1,1201,-14,WN,N505SW,321,LGA,BWI,43,185
2013,1,1,1059,-1,1210,-5,MQ,N509MQ,3792,JFK,DCA,50,213
2013,1,1,1059,6,1342,-9,UA,N451UA,369,EWR,LAS,325,2227
2013,1,1,1101,18,1345,13,B6,N630JB,545,EWR,PBI,145,1023
2013,1,1,1103,3,1410,-11,DL,N339NW,2071,LGA,MIA,155,1096
2013,1,1,1105,18,1428,23,UA,N521UA,688,EWR,SFO,356,2565
2013,1,1,1107,-8,1305,-5,MQ,N730MQ,4485,LGA,CMH,95,479
2013,1,1,1109,-6,1402,-23,AA,N3GSAA,2099,LGA,MIA,157,1096
2013,1,1,1111,-4,1222,-4,B6,N279JB,24,JFK,BTV,52,266
2013,1,1,1112,12,1440,2,UA,N517UA,285,JFK,SFO,364,2586
2013,1,1,1113,-2,1318,3,DL,N320NB,1031,LGA,DTW,104,502
2013,1,1,1114,134,1447,145,UA,N76502,1086,LGA,IAH,248,1416
2013,1,1,1120,96,1331,78,EV,N16561,4495,EWR,SAV,117,708
2013,1,1,1120,-5,1330,5,WN,N469WN,1057,LGA,STL,176,888
2013,1,1,1123,13,1410,34,UA,N587UA,405,LGA,DEN,256,1620
2013,1,1,1124,24,1435,4,B6,N590JB,641,JFK,SFO,349,2586
2013,1,1,1124,-1,1445,0,DL,N376NW,1171,LGA,RSW,169,1080
2013,1,1,1125,-5,1325,-7,US,N169UW,1085,LGA,CLT,94,544
2013,1,1,1127,-2,1303,-6,EV,N14180,4294,EWR,RDU,73,416
2013,1,1,1127,-3,1504,16,UA,N518UA,703,JFK,LAX,357,2475
2013,1,1,1127,-2,1421,-4,UA,N14118,1143,EWR,PBI,156,1023
2013,1,1,1128,-1,1422,-15,UA,N496UA,987,EWR,TPA,156,997
2013,1,1,1130,5,1301,-4,AA,N3DEAA,327,LGA,ORD,127,733
2013,1,1,1130,-1,1345,3,DL,N343NB,2219,LGA,MSP,166,1020
2013,1,1,1132,-3,1324,-6,MQ,N856MQ,4553,LGA,CLE,89,419
2013,1,1,1133,4,1440,3,B6,N652JB,133,JFK,RSW,168,1074
2013,1,1,1133,3,1448,-2,VX,N839VA,409,JFK,LAX,347,2475
2013,1,1,1135,-5,1429,-16,AA,N3EYAA,1623,EWR,MIA,156,1085
2013,1,1,1137,-3,1445,-6,DL,N999DN,2175,LGA,PBI,153,1035
2013,1,1,1143,-2,1512,5,UA,N39726,1010,EWR,SNA,371,2434
2013,1,1,1144,-1,1422,11,EV,N695CA,4876,EWR,ATL,126,746
2013,1,1,1147,-8,1335,8,FL,N932AT,353,LGA,CAK,82,397
2013,1,1,1150,-6,1302,-12,EV,N21144,4693,EWR,SYR,46,195
2013,1,1,1153,-6,1350,9,EV,N29917,4275,EWR,CMH,95,463
2013,1,1,1153,30,1454,29,B6,N552JB,1,JFK,FLL,167,1069
2013,1,1,1153,-7,1450,-39,DL,N712TW,863,JFK,LAX,330,2475
2013,1,1,1154,-6,1253,-13,B6,N206JB,1174,EWR,BOS,40,200
2013,1,1,1154,-6,1452,22,MQ,N8EGMQ,4658,LGA,ATL,141,762
2013,1,1,1155,-5,1517,7,AA,N322AA,3,JFK,LAX,353,2475
2013,1,1,1155,-5,1507,-12,DL,N969DL,1443,LGA,FLL,160,1076
2013,1,1,1155,-5,1441,1,DL,N904DL,1947,LGA,ATL,133,762
2013,1,1,1155,-5,1312,-3,MQ,N846MQ,4425,JFK,DCA,57,213
2013,1,1,1157,-1,1310,-5,EV,N16546,4511,EWR,ROC,50,246
2013,1,1,1157,-8,1342,-3,MQ,N723MQ,4431,LGA,RDU,80,431
2013,1,1,1157,-3,1452,-4,UA,N13113,1197,EWR,MCO,151,937
2013,1,1,1158,-7,1530,10,AA,N426AA,743,LGA,DFW,248,1389
2013,1,1,1158,-2,1256,-4,WN,N783SW,1568,EWR,BWI,38,169
2013,1,1,1158,-2,1338,7,UA,N588UA,701,LGA,ORD,142,733
2013,1,1,1200,0,1408,12,US,N755US,1443,JFK,CLT,102,541
2013,1,1,1202,-5,1318,4,EV,N11536,4347,EWR,BTV,51,266
2013,1,1,1202,3,1645,-8,UA,N38403,1663,EWR,SJU,187,1608
2013,1,1,1203,-2,1501,24,EV,N13978,3850,EWR,ATL,142,746
2013,1,1,1203,3,1519,-26,VX,N843VA,25,JFK,SFO,353,2586
2013,1,1,1204,4,1500,12,B6,N612JB,523,EWR,MCO,139,937
2013,1,1,1205,5,1503,-2,UA,N39418,1461,EWR,IAH,221,1400
2013,1,1,1206,-3,1325,-3,EV,N14168,4216,EWR,BUF,59,282
2013,1,1,1208,10,1540,38,B6,N239JB,625,JFK,HOU,253,1428
2013,1,1,1211,-4,1423,10,EV,N21537,4135,EWR,CLT,102,529
2013,1,1,1217,-3,1414,24,MQ,N517MQ,3697,EWR,ORD,143,719
2013,1,1,1217,-1,1525,-4,UA,N573UA,391,EWR,SFO,345,2565
2013,1,1,1219,-1,1415,0,AA,N545AA,1757,LGA,STL,161,888
2013,1,1,1219,-6,1451,-9,DL,N342NB,1715,LGA,MSY,195,1183
2013,1,1,1220,0,1403,23,WN,N254WN,133,EWR,MDW,142,711
2013,1,1,1222,23,1512,43,EV,N14916,4679,EWR,JAX,131,820
2013,1,1,1222,-7,1520,-6,B6,N192JB,27,JFK,TPA,160,1005
2013,1,1,1228,4,1631,27,UA,N38459,1114,EWR,PHX,339,2133
2013,1,1,1230,-5,1440,2,EV,N741EV,5311,EWR,DTW,108,488
2013,1,1,1231,-7,1449,3,DL,N920DL,1131,LGA,DTW,108,502
2013,1,1,1231,2,1523,-6,UA,N402UA,428,EWR,FLL,156,1065
2013,1,1,1237,-8,1340,-10,AA,N3EGAA,1850,JFK,BOS,40,187
2013,1,1,1238,-2,1410,5,WN,N297WN,564,LGA,MKE,137,738
2013,1,1,1240,11,1451,23,EV,N14543,4118,EWR,DTW,114,488
2013,1,1,1240,-5,1554,-6,AA,N3BUAA,2253,LGA,MIA,156,1096
2013,1,1,1240,5,1415,0,MQ,N828MQ,4404,JFK,RDU,79,427
2013,1,1,1241,-6,1342,-13,EV,N36915,4129,EWR,DCA,45,199
2013,1,1,1245,0,1616,1,DL,N711ZX,2174,JFK,SLC,298,1990
2013,1,1,1245,-4,1722,-38,DL,N670DN,315,JFK,SJU,188,1598
2013,1,1,1246,21,1424,36,B6,N228JB,66,JFK,BUF,70,301
2013,1,1,1248,-2,1607,0,UA,N26210,1280,LGA,IAH,238,1416
2013,1,1,1251,-1,1611,16,B6,N657JB,85,JFK,FLL,173,1069
2013,1,1,1252,7,1624,34,AA,N3FTAA,745,LGA,DFW,243,1389
2013,1,1,1253,41,1524,48,UA,N576UA,754,EWR,DEN,252,1605
2013,1,1,1255,-5,1541,4,DL,N644DL,781,LGA,ATL,132,762
2013,1,1,1255,0,1540,5,WN,N732SW,1251,LGA,DEN,264,1620
2013,1,1,1255,55,1451,81,MQ,N518MQ,4601,LGA,BNA,139,764
2013,1,1,1255,-4,1501,-1,US,N540UW,1459,LGA,CLT,100,544
